year,total_annual_rides,average_daily_rides,total_bus_rides,total_rail_rides,bus_share,rail_share
2001,483405757,1324399.3342465754,301712869,181692888,0.6241399996400953,0.3758600003599047
2002,483701088,1325208.4602739727,303301459,180399629,0.6270431605892935,0.37295683941070645
2003,472940755,1295728.095890411,291805659,181135096,0.6170025651521616,0.3829974348478384
2004,472747184,1291658.9726775957,294030716,178716468,0.6219618560435465,0.37803814395645347
2005,490003697,1342475.8821917807,303244172,186759525,0.6188609878998526,0.3811390121001475
2006,493602539,1352335.7232876713,298433226,195169313,0.604602291156367,0.395397708843633
2007,499544722,1368615.6767123288,309271308,190273414,0.6191063469988979,0.38089365300110206
2008,526336470,1438077.786885246,328199217,198137253,0.623554010992246,0.37644598900775395
2009,521241827,1428059.8,318672787,202569040,0.6113722469935245,0.38862775300647545
2010,516873058,1416090.5698630137,306023984,210849074,0.5920679734868286,0.40793202651317145
2011,531927049,1457334.380821918,310373058,221553991,0.5834880151018603,0.4165119848981397
2012,545577922,1490650.0601092896,314423583,231154339,0.5763128790977726,0.42368712090222743
2013,528800772,1448769.2383561644,300116373,228684399,0.567541480442468,0.43245851955753195
2014,514216801,1408813.1534246576,276116747,238100054,0.53696562707215,0.46303437292784994
2015,515964835,1413602.2876712328,274288770,241676065,0.5316036120949987,0.4683963879050013
2016,497704249,1359847.674863388,259058437,238645812,0.5205067819302462,0.4794932180697537
2017,479435223,1313521.1589041096,249231176,230204047,0.5198432740099281,0.48015672599007186
2018,468067957,1282377.9643835616,242173004,225894953,0.5173885551836653,0.48261144481633467
2019,455743540,1248612.4383561644,237276399,218467141,0.5206357922264789,0.47936420777352107
2020,197499791,539616.9153005464,121449920,76049871,0.6149369545408785,0.3850630454591215
2021,195980570,536933.0684931506,117357522,78623048,0.5988222301833289,0.40117776981667114
2022,243538810,667229.6164383561,140013952,103524858,0.5749143309027419,0.42508566909725803
2023,279146498,764784.9260273973,161699358,117447140,0.5792634303440196,0.42073656965598044
2024,309197034,844800.6393442623,181733625,127463409,0.5877599233374277,0.4122400766625724
2025,338041690,926141.6164383561,199648793,138392897,0.5906040553755366,0.4093959446244633
2026,78164778,868497.5333333333,47449089,30715689,0.6070392600616098,0.39296073993839015
