service_date,day_type,bus,rail_boardings,total_rides,components_sum,difference,difference_pct_of_total,year,month,month_name,quarter,day_of_week,day_type_label,bus_share,rail_share
2001-01-01,U,297192,126455,423647,423647,0,0.0,2001,1,January,Q1,Monday,Sunday/Holiday,0.7015085672741693,0.29849143272583073
2001-01-02,W,780827,501952,1282779,1282779,0,0.0,2001,1,January,Q1,Tuesday,Weekday,0.6086995499614509,0.39130045003854913
2001-01-03,W,824923,536432,1361355,1361355,0,0.0,2001,1,January,Q1,Wednesday,Weekday,0.6059572998960594,0.39404270010394055
2001-01-04,W,870021,550011,1420032,1420032,0,0.0,2001,1,January,Q1,Thursday,Weekday,0.6126770382639265,0.38732296173607356
2001-01-05,W,890426,557917,1448343,1448343,0,0.0,2001,1,January,Q1,Friday,Weekday,0.6147894524984758,0.38521054750152417
2001-01-06,A,577401,255356,832757,832757,0,0.0,2001,1,January,Q1,Saturday,Saturday,0.6933607282796782,0.3066392717203218
2001-01-07,U,375831,169825,545656,545656,0,0.0,2001,1,January,Q1,Sunday,Sunday/Holiday,0.6887691146070052,0.31123088539299487
2001-01-08,W,985221,590706,1575927,1575927,0,0.0,2001,1,January,Q1,Monday,Weekday,0.6251691861361599,0.37483081386384015
2001-01-09,W,978377,599905,1578282,1578282,0,0.0,2001,1,January,Q1,Tuesday,Weekday,0.6198999925235161,0.3801000074764839
2001-01-10,W,984884,602052,1586936,1586936,0,0.0,2001,1,January,Q1,Wednesday,Weekday,0.6206198611664239,0.37938013883357613
2001-01-11,W,995561,607503,1603064,1603064,0,0.0,2001,1,January,Q1,Thursday,Weekday,0.6210363404081185,0.37896365959188155
2001-01-12,W,1018985,605252,1624237,1624237,0,0.0,2001,1,January,Q1,Friday,Weekday,0.6273622630194978,0.37263773698050223
2001-01-13,A,591791,270056,861847,861847,0,0.0,2001,1,January,Q1,Saturday,Saturday,0.6866543597645521,0.3133456402354478
2001-01-14,U,373091,174842,547933,547933,0,0.0,2001,1,January,Q1,Sunday,Sunday/Holiday,0.6809062421865447,0.3190937578134553
2001-01-15,W,675845,412149,1087994,1087994,0,0.0,2001,1,January,Q1,Monday,Weekday,0.6211844918262417,0.3788155081737583
2001-01-16,W,1024367,622163,1646530,1646530,0,0.0,2001,1,January,Q1,Tuesday,Weekday,0.6221368575124656,0.3778631424875344
2001-01-17,W,1018690,620343,1639033,1639033,0,0.0,2001,1,January,Q1,Wednesday,Weekday,0.6215189077950231,0.37848109220497694
2001-01-18,W,1006996,618832,1625828,1625828,0,0.0,2001,1,January,Q1,Thursday,Weekday,0.6193742511507982,0.38062574884920175
2001-01-19,W,909964,583851,1493815,1493815,0,0.0,2001,1,January,Q1,Friday,Weekday,0.6091544133644393,0.3908455866355606
2001-01-20,A,582348,263815,846163,846163,0,0.0,2001,1,January,Q1,Saturday,Saturday,0.6882220092346274,0.3117779907653726
2001-01-21,U,378381,172107,550488,550488,0,0.0,2001,1,January,Q1,Sunday,Sunday/Holiday,0.6873555826830012,0.3126444173169987
2001-01-22,W,1005936,598777,1604713,1604713,0,0.0,2001,1,January,Q1,Monday,Weekday,0.6268634952169018,0.3731365047830983
2001-01-23,W,1019983,610352,1630335,1630335,0,0.0,2001,1,January,Q1,Tuesday,Weekday,0.625627861758473,0.37437213824152704
2001-01-24,W,991661,606835,1598496,1598496,0,0.0,2001,1,January,Q1,Wednesday,Weekday,0.6203712739975578,0.3796287260024423
2001-01-25,W,1004257,609877,1614134,1614134,0,0.0,2001,1,January,Q1,Thursday,Weekday,0.6221645786533212,0.3778354213466788
2001-01-26,W,965324,597039,1562363,1562363,0,0.0,2001,1,January,Q1,Friday,Weekday,0.6178615340993098,0.38213846590069017
2001-01-27,A,590836,268078,858914,858914,0,0.0,2001,1,January,Q1,Saturday,Saturday,0.6878872622870276,0.31211273771297243
2001-01-28,U,368819,174434,543253,543253,0,0.0,2001,1,January,Q1,Sunday,Sunday/Holiday,0.6789083539345387,0.3210916460654612
2001-01-29,W,953532,587052,1540584,1540584,0,0.0,2001,1,January,Q1,Monday,Weekday,0.6189419077440763,0.38105809225592374
2001-01-30,W,982046,607858,1589904,1589904,0,0.0,2001,1,January,Q1,Tuesday,Weekday,0.6176762873733257,0.3823237126266743
2001-01-31,W,999392,610508,1609900,1609900,0,0.0,2001,1,January,Q1,Wednesday,Weekday,0.6207789303683459,0.37922106963165414
2001-02-01,W,1054608,615268,1669876,1669876,0,0.0,2001,2,February,Q1,Thursday,Weekday,0.6315486898428386,0.36845131015716137
2001-02-02,W,966701,577767,1544468,1544468,0,0.0,2001,2,February,Q1,Friday,Weekday,0.6259119645081672,0.3740880354918328
2001-02-03,A,611703,263612,875315,875315,0,0.0,2001,2,February,Q1,Saturday,Saturday,0.6988375613350623,0.30116243866493775
2001-02-04,U,404212,178398,582610,582610,0,0.0,2001,2,February,Q1,Sunday,Sunday/Holiday,0.6937951631451571,0.30620483685484284
2001-02-05,W,1045944,600588,1646532,1646532,0,0.0,2001,2,February,Q1,Monday,Weekday,0.6352406148195116,0.36475938518048845
2001-02-06,W,1039393,612435,1651828,1651828,0,0.0,2001,2,February,Q1,Tuesday,Weekday,0.6292380320469202,0.37076196795307986
2001-02-07,W,1015059,609022,1624081,1624081,0,0.0,2001,2,February,Q1,Wednesday,Weekday,0.6250051567625013,0.3749948432374986
2001-02-08,W,1007760,610237,1617997,1617997,0,0.0,2001,2,February,Q1,Thursday,Weekday,0.622844170910082,0.37715582908991796
2001-02-09,W,970826,593354,1564180,1564180,0,0.0,2001,2,February,Q1,Friday,Weekday,0.6206613049649017,0.37933869503509826
2001-02-10,A,605404,271313,876717,876717,0,0.0,2001,2,February,Q1,Saturday,Saturday,0.6905352582418272,0.30946474175817285
2001-02-11,U,405433,178810,584243,584243,0,0.0,2001,2,February,Q1,Sunday,Sunday/Holiday,0.6939458410284761,0.3060541589715238
2001-02-12,W,872330,539393,1411723,1411723,0,0.0,2001,2,February,Q1,Monday,Weekday,0.6179186710140728,0.3820813289859271
2001-02-13,W,1050834,622753,1673587,1673587,0,0.0,2001,2,February,Q1,Tuesday,Weekday,0.6278932615991879,0.37210673840081215
2001-02-14,W,1004304,610966,1615270,1615270,0,0.0,2001,2,February,Q1,Wednesday,Weekday,0.6217561150767364,0.3782438849232636
2001-02-15,W,1028938,613323,1642261,1642261,0,0.0,2001,2,February,Q1,Thursday,Weekday,0.6265374383243589,0.37346256167564107
2001-02-16,W,1033040,601418,1634458,1634458,0,0.0,2001,2,February,Q1,Friday,Weekday,0.6320382658960952,0.36796173410390476
2001-02-17,A,591717,269294,861011,861011,0,0.0,2001,2,February,Q1,Saturday,Saturday,0.687235122431653,0.312764877568347
2001-02-18,U,388788,176855,565643,565643,0,0.0,2001,2,February,Q1,Sunday,Sunday/Holiday,0.6873381266982885,0.3126618733017115
2001-02-19,W,782447,457891,1240338,1240338,0,0.0,2001,2,February,Q1,Monday,Weekday,0.6308336921065064,0.36916630789349353
2001-02-20,W,1035400,610284,1645684,1645684,0,0.0,2001,2,February,Q1,Tuesday,Weekday,0.6291608838634878,0.3708391161365122
2001-02-21,W,986212,600133,1586345,1586345,0,0.0,2001,2,February,Q1,Wednesday,Weekday,0.6216882204060277,0.37831177959397233
2001-02-22,W,986399,606302,1592701,1592701,0,0.0,2001,2,February,Q1,Thursday,Weekday,0.619324656668138,0.38067534333186204
2001-02-23,W,1024235,602352,1626587,1626587,0,0.0,2001,2,February,Q1,Friday,Weekday,0.6296835029420498,0.37031649705795017
2001-02-24,A,505193,246795,751988,751988,0,0.0,2001,2,February,Q1,Saturday,Saturday,0.6718099224987633,0.32819007750123674
2001-02-25,U,351637,172132,523769,523769,0,0.0,2001,2,February,Q1,Sunday,Sunday/Holiday,0.6713589387688084,0.32864106123119163
2001-02-26,W,1009329,609256,1618585,1618585,0,0.0,2001,2,February,Q1,Monday,Weekday,0.6235872691270462,0.37641273087295385
2001-02-27,W,1000630,609305,1609935,1609935,0,0.0,2001,2,February,Q1,Tuesday,Weekday,0.6215344097743076,0.3784655902256923
2001-02-28,W,990416,610013,1600429,1600429,0,0.0,2001,2,February,Q1,Wednesday,Weekday,0.6188440724330789,0.3811559275669211
2001-03-01,W,1051889,618440,1670329,1670329,0,0.0,2001,3,March,Q1,Thursday,Weekday,0.629749588254769,0.37025041174523105
2001-03-02,W,1062234,611578,1673812,1673812,0,0.0,2001,3,March,Q1,Friday,Weekday,0.6346196585996515,0.3653803414003484
2001-03-03,A,678870,286786,965656,965656,0,0.0,2001,3,March,Q1,Saturday,Saturday,0.703014323941445,0.296985676058555
2001-03-04,U,385978,178292,564270,564270,0,0.0,2001,3,March,Q1,Sunday,Sunday/Holiday,0.6840306945256703,0.31596930547432966
2001-03-05,W,863086,549759,1412845,1412845,0,0.0,2001,3,March,Q1,Monday,Weekday,0.6108851289419576,0.38911487105804243
2001-03-06,W,1013530,603561,1617091,1617091,0,0.0,2001,3,March,Q1,Tuesday,Weekday,0.6267612645175813,0.37323873548241876
2001-03-07,W,1028462,616666,1645128,1645128,0,0.0,2001,3,March,Q1,Wednesday,Weekday,0.6251562188474088,0.37484378115259115
2001-03-08,W,1000946,611371,1612317,1612317,0,0.0,2001,3,March,Q1,Thursday,Weekday,0.6208121603878145,0.37918783961218544
2001-03-09,W,1038368,606672,1645040,1645040,0,0.0,2001,3,March,Q1,Friday,Weekday,0.6312113991149151,0.36878860088508486
2001-03-10,A,633472,283251,916723,916723,0,0.0,2001,3,March,Q1,Saturday,Saturday,0.6910178974455752,0.3089821025544248
2001-03-11,U,410081,188228,598309,598309,0,0.0,2001,3,March,Q1,Sunday,Sunday/Holiday,0.6854000190536996,0.3145999809463003
2001-03-12,W,979411,588857,1568268,1568268,0,0.0,2001,3,March,Q1,Monday,Weekday,0.6245176207127864,0.3754823792872137
2001-03-13,W,1017685,611347,1629032,1629032,0,0.0,2001,3,March,Q1,Tuesday,Weekday,0.6247176237176434,0.3752823762823566
2001-03-14,W,1025283,619417,1644700,1644700,0,0.0,2001,3,March,Q1,Wednesday,Weekday,0.6233860278470238,0.3766139721529762
2001-03-15,W,960667,596612,1557279,1557279,0,0.0,2001,3,March,Q1,Thursday,Weekday,0.6168881748228802,0.38311182517711984
2001-03-16,W,923613,583359,1506972,1506972,0,0.0,2001,3,March,Q1,Friday,Weekday,0.6128932720714121,0.3871067279285879
2001-03-17,A,602158,343893,946051,946051,0,0.0,2001,3,March,Q1,Saturday,Saturday,0.6364963411063462,0.3635036588936537
2001-03-18,U,412146,194257,606403,606403,0,0.0,2001,3,March,Q1,Sunday,Sunday/Holiday,0.6796569278186289,0.32034307218137115
2001-03-19,W,1021700,602469,1624169,1624169,0,0.0,2001,3,March,Q1,Monday,Weekday,0.6290601532229713,0.37093984677702874
2001-03-20,W,1034388,618340,1652728,1652728,0,0.0,2001,3,March,Q1,Tuesday,Weekday,0.6258670513236297,0.3741329486763702
2001-03-21,W,1029332,616764,1646096,1646096,0,0.0,2001,3,March,Q1,Wednesday,Weekday,0.6253171139471817,0.3746828860528183
2001-03-22,W,1030741,617815,1648556,1648556,0,0.0,2001,3,March,Q1,Thursday,Weekday,0.6252386937416745,0.3747613062583255
2001-03-23,W,1030685,605605,1636290,1636290,0,0.0,2001,3,March,Q1,Friday,Weekday,0.6298914006685856,0.3701085993314144
2001-03-24,A,604139,277028,881167,881167,0,0.0,2001,3,March,Q1,Saturday,Saturday,0.6856123754067049,0.314387624593295
2001-03-25,U,348817,170742,519559,519559,0,0.0,2001,3,March,Q1,Sunday,Sunday/Holiday,0.6713712975812179,0.32862870241878206
2001-03-26,W,989316,583176,1572492,1572492,0,0.0,2001,3,March,Q1,Monday,Weekday,0.6291389717721935,0.3708610282278066
