year,month,month_name,monthly_total_rides,monthly_bus_rides,monthly_rail_rides
2001,1,January,39735242,25022908,14712334
2001,2,February,37438161,23768892,13669269
2001,3,March,42290743,26827165,15463578
2001,4,April,39767127,25053791,14713336
2001,5,May,42487474,26743744,15743730
2001,6,June,40580968,24994471,15586497
2001,7,July,40561895,24537097,16024798
2001,8,August,40661924,24647188,16014736
2001,9,September,39654637,24908952,14745685
2001,10,October,43431656,26768528,16663128
2001,11,November,39950382,25011551,14938831
2001,12,December,36845548,23428582,13416966
2002,1,January,39382080,24807048,14575032
2002,2,February,37109830,23485882,13623948
2002,3,March,39283246,24858090,14425156
2002,4,April,40395495,25221491,15174004
2002,5,May,41715030,26354521,15360509
2002,6,June,39815153,24761346,15053807
2002,7,July,41045109,25188006,15857103
2002,8,August,40723521,25288246,15435275
2002,9,September,41841511,26357013,15484498
2002,10,October,45173631,28153909,17019722
2002,11,November,39468837,24745987,14722850
2002,12,December,37747645,24079920,13667725
2003,1,January,38396870,24105413,14291457
2003,2,February,36182907,22682591,13500316
2003,3,March,39513001,24641667,14871334
2003,4,April,39236778,24305593,14931185
2003,5,May,40580278,25394299,15185979
2003,6,June,39520693,24198323,15322370
2003,7,July,40243483,24125081,16118402
2003,8,August,38765430,23476981,15288449
2003,9,September,41753157,25692283,16060874
2003,10,October,44590605,27180176,17410429
2003,11,November,37050428,22815713,14234715
2003,12,December,37107125,23187539,13919586
2004,1,January,36466657,22839075,13627582
2004,2,February,36587508,22913765,13673743
2004,3,March,40971002,25579313,15391689
2004,4,April,39210541,24348105,14862436
2004,5,May,39240211,24699079,14541132
2004,6,June,40476650,24849483,15627167
2004,7,July,39473178,23990049,15483129
2004,8,August,38886461,23788588,15097873
2004,9,September,42142488,26347879,15794609
2004,10,October,43039034,26910320,16128714
2004,11,November,39395494,24608075,14787419
2004,12,December,36857960,23156985,13700975
2005,1,January,37301758,23346168,13955590
2005,2,February,37680773,23941812,13738961
2005,3,March,41096128,25841232,15254896
2005,4,April,41117988,25747419,15370569
2005,5,May,41570244,25948616,15621628
2005,6,June,41424100,25158657,16265443
2005,7,July,40125376,24292107,15833269
2005,8,August,41814583,25500301,16314282
2005,9,September,44558280,27453694,17104586
2005,10,October,44775047,27500140,17274907
2005,11,November,40600864,25010567,15590297
2005,12,December,37938556,23503459,14435097
2006,1,January,38207170,23256316,14950854
2006,2,February,37411102,23084695,14326407
2006,3,March,43108569,26587686,16520883
2006,4,April,39516237,23909312,15606925
2006,5,May,43414455,26436976,16977479
2006,6,June,41746408,24874712,16871696
2006,7,July,40646600,23597397,17049203
2006,8,August,42096451,24691332,17405119
2006,9,September,43121523,25932978,17188545
2006,10,October,44832993,27061706,17771287
2006,11,November,41248425,25200267,16048158
2006,12,December,38252606,23799849,14452757
2007,1,January,39750914,24546428,15204486
2007,2,February,35687152,21990046,13697106
2007,3,March,43031232,26829504,16201728
2007,4,April,40424876,25272566,15152310
2007,5,May,44209121,27763654,16445467
2007,6,June,42041871,25535357,16506514
2007,7,July,42295467,25369860,16925607
2007,8,August,42767971,25854753,16913218
2007,9,September,43125143,26732929,16392214
2007,10,October,46999621,29273921,17725700
2007,11,November,41443661,26024234,15419427
2007,12,December,37767693,24078056,13689637
2008,1,January,39422856,24565526,14857330
2008,2,February,39394496,24610471,14784025
2008,3,March,41772326,26362147,15410179
2008,4,April,44989794,28494855,16494939
2008,5,May,45602049,29033795,16568254
2008,6,June,44661979,27690589,16971390
2008,7,July,46628211,28669448,17958763
2008,8,August,45552994,27824860,17728134
2008,9,September,47130092,29329930,17800162
2008,10,October,50080432,31132959,18947473
2008,11,November,41963852,26186525,15777327
2008,12,December,39137389,24298112,14839277
2009,1,January,40286138,25031676,15254462
2009,2,February,40077752,25042066,15035686
2009,3,March,44385821,27646475,16739346
2009,4,April,43355645,26577767,16777878
2009,5,May,44322317,27596869,16725448
2009,6,June,43961537,26513767,17447770
2009,7,July,45321494,26863716,18457778
2009,8,August,43422945,25933551,17489394
2009,9,September,46128889,27918298,18210591
2009,10,October,47427633,28728510,18699123
2009,11,November,42705365,26240349,16465016
2009,12,December,39846291,24579743,15266548
2010,1,January,40447316,25075047,15372269
2010,2,February,39551930,24104688,15447242
2010,3,March,44475589,26865822,17609767
2010,4,April,43701717,25987237,17714480
2010,5,May,43236881,25728902,17507979
2010,6,June,43875996,25415653,18460343
2010,7,July,43617508,25104379,18513129
2010,8,August,44323431,25671781,18651650
2010,9,September,45828030,26777841,19050189
2010,10,October,46573038,27224996,19348042
2010,11,November,42753319,25213678,17539641
2010,12,December,38488303,22853960,15634343
2011,1,January,40655036,24357177,16297859
2011,2,February,38651036,22814159,15836877
2011,3,March,46175914,27490593,18685321
2011,4,April,43566431,25503891,18062540
2011,5,May,44899796,26444010,18455786
2011,6,June,45596259,26104842,19491417
2011,7,July,44030621,25089026,18941595
2011,8,August,46731962,26758978,19972984
2011,9,September,47088583,27358226,19730357
2011,10,October,47993204,27681086,20312118
2011,11,November,44420120,25820760,18599360
2011,12,December,42118087,24950310,17167777
2012,1,January,42441143,24678859,17762284
2012,2,February,43779888,25891780,17888108
2012,3,March,47629411,27916602,19712809
2012,4,April,44470247,25673945,18796302
2012,5,May,46926557,27200190,19726367
2012,6,June,45881402,25928422,19952980
2012,7,July,44375480,25133851,19241629
2012,8,August,47489564,26904559,20585005
2012,9,September,46323145,26479608,19843537
2012,10,October,50562027,28893005,21669022
2012,11,November,45159186,26017157,19142029
2012,12,December,40539872,23705605,16834267
2013,1,January,42569274,24676640,17892634
2013,2,February,40724338,23653941,17070397
2013,3,March,44161299,25632565,18528734
2013,4,April,45126104,25820985,19305119
2013,5,May,46199217,26855595,19343622
2013,6,June,44124037,25077757,19046280
2013,7,July,44606037,25001394,19604643
2013,8,August,45197386,25395071,19802315
2013,9,September,46075420,26104376,19971044
2013,10,October,48727767,27333109,21394658
2013,11,November,42331696,23115398,19216298
2013,12,December,38958197,21449542,17508655
2014,1,January,38017424,20556420,17461004
2014,2,February,39560253,21759992,17800261
2014,3,March,44681322,24607091,20074231
2014,4,April,44275143,23918985,20356158
2014,5,May,44890930,24551162,20339768
2014,6,June,42581633,22390362,20191271
2014,7,July,43399531,22615196,20784335
2014,8,August,42633798,22214610,20419188
2014,9,September,45538922,24434845,21104077
2014,10,October,48081638,25638172,22443466
2014,11,November,40245141,21484663,18760478
2014,12,December,40311066,21945249,18365817
2015,1,January,39396883,21404077,17992806
2015,2,February,38175732,20973941,17201791
2015,3,March,44618007,24520857,20097150
2015,4,April,43631114,23515670,20115444
2015,5,May,43768715,23615581,20153134
2015,6,June,44331143,23206111,21125032
2015,7,July,44827911,22901148,21926763
2015,8,August,43020311,22218096,20802215
2015,9,September,45512367,23886543,21625824
2015,10,October,47711861,25047871,22663990
2015,11,November,41126103,21655511,19470592
2015,12,December,39844688,21343364,18501324
2016,1,January,38915814,20751116,18164698
2016,2,February,40028364,21466848,18561516
2016,3,March,43708352,23340884,20367468
2016,4,April,41505601,21708285,19797316
2016,5,May,42494882,22222368,20272514
2016,6,June,42616909,21700741,20916168
2016,7,July,40886206,20368119,20518087
2016,8,August,42002966,21419472,20583494
2016,9,September,43502454,22702658,20799796
2016,10,October,44733957,22961411,21772546
2016,11,November,40962525,21083500,19879025
2016,12,December,36346219,19333035,17013184
2017,1,January,37472144,19570750,17901394
2017,2,February,37156872,19900789,17256083
2017,3,March,41748832,22122475,19626357
2017,4,April,38717513,20111452,18606061
2017,5,May,41830381,21934061,19896320
2017,6,June,41565618,21076516,20489102
2017,7,July,39210367,19785002,19425365
2017,8,August,41562401,20878046,20684355
2017,9,September,42071436,21895794,20175642
2017,10,October,43618313,22543247,21075066
2017,11,November,39319542,20641027,18678515
2017,12,December,35161804,18772017,16389787
2018,1,January,36550225,19192860,17357365
2018,2,February,35089025,18530421,16558604
2018,3,March,39907384,20953087,18954297
2018,4,April,38902702,20400911,18501791
2018,5,May,41086176,21468845,19617331
2018,6,June,39406306,19949110,19457196
2018,7,July,39188335,19757073,19431262
2018,8,August,40573322,20242239,20331083
2018,9,September,40427642,20673840,19753802
2018,10,October,44288281,22736826,21551455
2018,11,November,37995038,19723983,18271055
2018,12,December,34653521,18543809,16109712
2019,1,January,33522713,17453868,16068845
2019,2,February,34635617,18278676,16356941
2019,3,March,38286316,20267147,18019169
2019,4,April,38322529,19936880,18385649
2019,5,May,40351838,21144868,19206970
2019,6,June,38578037,19794294,18783743
2019,7,July,39007815,19903917,19103898
2019,8,August,39349666,19940708,19408958
2019,9,September,40035897,20857679,19178218
2019,10,October,42383146,21800400,20582746
2019,11,November,36752772,19304408,17448364
2019,12,December,34517194,18593554,15923640
2020,1,January,36663540,19482387,17181153
2020,2,February,35328884,19030115,16298769
2020,3,March,23135120,13340656,9794464
2020,4,April,8118262,5851652,2266610
2020,5,May,9057927,6822849,2235078
2020,6,June,10286826,7331691,2955135
2020,7,July,12863488,8608427,4255061
2020,8,August,12801493,8540935,4260558
2020,9,September,13149933,8593214,4556719
2020,10,October,13637151,8886804,4750347
2020,11,November,11308846,7493942,3814904
2020,12,December,11148321,7467248,3681073
2021,1,January,10785643,7156782,3628861
2021,2,February,10459292,6807111,3652181
2021,3,March,13595095,8867549,4727546
2021,4,April,13868676,8864580,5004096
2021,5,May,14922431,9197726,5724705
2021,6,June,16603301,9844711,6758590
2021,7,July,18592600,10605134,7987466
2021,8,August,19010876,10949681,8061195
2021,9,September,21047016,12058765,8988251
2021,10,October,20934903,11905629,9029274
2021,11,November,18944612,10923926,8020686
2021,12,December,17216125,10175928,7040197
2022,1,January,14336716,8606585,5730131
2022,2,February,16264298,9684827,6579471
2022,3,March,20521598,12082027,8439571
